,state,lat,lng,population,location,county
2084,Michigan,44.3374,-85.0947,15089,"(44.3374, -85.0947)",Missaukee County
2085,Michigan,44.0655,-83.8952,15031,"(44.0655, -83.8952)",Arenac County
2086,Texas,28.9542,-96.5776,15010,"(28.9542, -96.5776)",Jackson County
2087,Florida,29.9565,-85.2263,15002,"(29.9565, -85.2263)",Gulf County
2088,North Carolina,36.0133,-82.1636,14989,"(36.0133, -82.1636)",Mitchell County
2089,Iowa,42.3838,-93.7068,14979,"(42.3838, -93.7068)",Hamilton County
2090,Georgia,33.8807,-83.0807,14974,"(33.8807, -83.0807)",Oglethorpe County
2091,South Dakota,42.9146,-96.9756,14953,"(42.9146, -96.9756)",Clay County
2092,Minnesota,44.5795,-94.2321,14950,"(44.5795, -94.2321)",Sibley County
2093,Kentucky,37.5458,-85.6979,14902,"(37.5458, -85.6979)",Larue County
2094,Georgia,33.3164,-83.6881,14882,"(33.3164, -83.6881)",Jasper County
2095,Virginia,39.1123,-77.9967,14882,"(39.1123, -77.9967)",Clarke County
2096,Tennessee,35.5964,-85.2051,14816,"(35.5964, -85.2051)",Bledsoe County
2097,Texas,28.9057,-97.8594,14805,"(28.9057, -97.8594)",Karnes County
2098,Missouri,38.4409,-91.5079,14801,"(38.4409, -91.5079)",Gasconade County
2099,Georgia,31.8056,-82.6368,14791,"(31.8056, -82.6368)",Jeff Davis County
2100,Illinois,39.6225,-90.8863,14776,"(39.6225, -90.8863)",Pike County
2101,Virginia,37.7874,-78.8868,14773,"(37.7874, -78.8868)",Nelson County
2102,Louisiana,31.6769,-92.1605,14764,"(31.6769, -92.1605)",La Salle Parish
2103,Alabama,32.7627,-87.6291,14742,"(32.7627, -87.6291)",Hale County
2104,Iowa,43.2041,-94.2067,14718,"(43.2041, -94.2067)",Kossuth County
2105,Minnesota,44.7268,-94.9471,14707,"(44.7268, -94.9471)",Renville County
2106,Texas,32.3035,-100.406,14657,"(32.3035, -100.406)",Nolan County
2107,Kentucky,38.6956,-84.3603,14638,"(38.6956, -84.3603)",Pendleton County
2108,Iowa,41.6829,-95.8168,14623,"(41.6829, -95.8168)",Harrison County
2109,Wyoming,41.6945,-106.9306,14609,"(41.6945, -106.9306)",Carbon County
2110,Iowa,41.0334,-95.6213,14605,"(41.0334, -95.6213)",Mills County
2111,Michigan,46.4087,-89.6943,14597,"(46.4087, -89.6943)",Gogebic County
2112,Virginia,38.8847,-77.1751,14576,"(38.8847, -77.1751)",City of Falls Church
2113,Pennsylvania,39.9254,-78.1127,14545,"(39.9254, -78.1127)",Fulton County
2114,Arkansas,36.3682,-90.4176,14537,"(36.3682, -90.4176)",Clay County
2115,Illinois,39.6415,-88.6193,14531,"(39.6415, -88.6193)",Moultrie County
2116,Ohio,40.2938,-81.0911,14528,"(40.2938, -81.0911)",Harrison County
2117,Utah,37.626,-109.8046,14524,"(37.626, -109.8046)",San Juan County
2118,Missouri,37.6066,-91.5079,14509,"(37.6066, -91.5079)",Dent County
2119,Tennessee,35.8087,-86.0617,14481,"(35.8087, -86.0617)",Cannon County
2120,Florida,30.4375,-83.8953,14458,"(30.4375, -83.8953)",Jefferson County
2121,West Virginia,39.6053,-80.6391,14431,"(39.6053, -80.6391)",Wetzel County
2122,Colorado,37.3158,-104.0386,14422,"(37.3158, -104.0386)",Las Animas County
2123,Kansas,37.8552,-94.8493,14405,"(37.8552, -94.8493)",Bourbon County
2124,Missouri,39.7821,-93.5483,14402,"(39.7821, -93.5483)",Livingston County
2125,Idaho,42.1811,-111.8132,14376,"(42.1811, -111.8132)",Franklin County
2126,Iowa,42.7316,-92.7902,14376,"(42.7316, -92.7902)",Butler County
2127,Missouri,37.7238,-93.8566,14314,"(37.7238, -93.8566)",Cedar County
2128,Mississippi,32.0177,-89.5067,14310,"(32.0177, -89.5067)",Smith County
2129,Oklahoma,34.0266,-95.5522,14285,"(34.0266, -95.5522)",Choctaw County
2130,Kentucky,37.354,-82.9541,14282,"(37.354, -82.9541)",Knott County
2131,Nebraska,40.5241,-97.1409,14275,"(40.5241, -97.1409)",Saline County
2132,West Virginia,39.0075,-78.858,14249,"(39.0075, -78.858)",Hardy County
2133,Ohio,39.766,-81.4555,14216,"(39.766, -81.4555)",Noble County
2134,Nebraska,40.8727,-97.5971,14212,"(40.8727, -97.5971)",York County
2135,Alabama,33.269,-85.8605,14209,"(33.269, -85.8605)",Clay County
2136,Louisiana,32.8227,-92.9958,14203,"(32.8227, -92.9958)",Claiborne Parish
2137,Wisconsin,45.4751,-91.1332,14179,"(45.4751, -91.1332)",Rusk County
2138,Kentucky,36.8064,-87.8733,14154,"(36.8064, -87.8733)",Trigg County
2139,South Carolina,33.6749,-80.7803,14145,"(33.6749, -80.7803)",Calhoun County
2140,Oklahoma,36.7617,-95.2085,14144,"(36.7617, -95.2085)",Craig County
2141,Iowa,43.0838,-95.6249,14138,"(43.0838, -95.6249)",O'Brien County
2142,Kentucky,37.6924,-83.9643,14138,"(37.6924, -83.9643)",Estill County
2143,Illinois,37.2189,-88.7076,14135,"(37.2189, -88.7076)",Massac County
2144,North Carolina,35.4868,-83.4928,14130,"(35.4868, -83.4928)",Swain County
2145,Oklahoma,34.3737,-96.0378,14117,"(34.3737, -96.0378)",Atoka County
2146,Minnesota,46.5858,-94.9694,14108,"(46.5858, -94.9694)",Wadena County
2147,Virginia,37.1258,-82.3504,14089,"(37.1258, -82.3504)",Dickenson County
2148,North Dakota,47.7402,-103.3953,14081,"(47.7402, -103.3953)",McKenzie County
2149,Wisconsin,45.6804,-90.3614,14066,"(45.6804, -90.3614)",Price County
2150,Massachusetts,41.2831,-70.0692,14065,"(41.2831, -70.0692)",Nantucket County
2151,Iowa,43.2843,-91.3781,14046,"(43.2843, -91.3781)",Allamakee County
2152,West Virginia,38.714,-81.3483,14027,"(38.714, -81.3483)",Roane County
2153,Georgia,32.7506,-81.612,14026,"(32.7506, -81.612)",Screven County
2154,Texas,31.323,-103.693,14022,"(31.323, -103.693)",Reeves County
2155,Minnesota,48.0662,-96.0367,13995,"(48.0662, -96.0367)",Pennington County
2156,Tennessee,35.8135,-89.1395,13955,"(35.8135, -89.1395)",Crockett County
2157,Minnesota,43.6739,-93.948,13931,"(43.6739, -93.948)",Faribault County
2158,Alaska,55.5852,-130.9282,13910,"(55.5852, -130.9282)",Ketchikan Gateway Borough
2159,Texas,27.0008,-99.1686,13896,"(27.0008, -99.1686)",Zapata County
2160,Mississippi,31.1484,-90.1061,13888,"(31.1484, -90.1061)",Walthall County
2161,Alabama,33.7791,-88.097,13885,"(33.7791, -88.097)",Lamar County
2162,Texas,32.2976,-99.3735,13869,"(32.2976, -99.3735)",Callahan County
2163,Ohio,39.6204,-81.8527,13851,"(39.6204, -81.8527)",Morgan County
2164,Kentucky,37.9223,-83.2589,13840,"(37.9223, -83.2589)",Morgan County
2165,Oklahoma,34.4823,-97.0679,13837,"(34.4823, -97.0679)",Murray County
2166,North Carolina,36.1508,-76.6079,13835,"(36.1508, -76.6079)",Chowan County
2167,Illinois,38.0875,-88.1796,13834,"(38.0875, -88.1796)",White County
2168,Indiana,40.9558,-87.3976,13829,"(40.9558, -87.3976)",Newton County
2169,Virginia,38.4137,-78.2792,13828,"(38.4137, -78.2792)",Madison County
2170,Illinois,38.3522,-89.4105,13781,"(38.3522, -89.4105)",Washington County
2171,Montana,48.7051,-112.9947,13781,"(48.7051, -112.9947)",Glacier County
2172,Florida,30.406,-85.1972,13753,"(30.406, -85.1972)",Calhoun County
2173,Arkansas,36.0949,-91.9134,13748,"(36.0949, -91.9134)",Izard County
2174,Texas,31.0888,-95.1355,13735,"(31.0888, -95.1355)",Trinity County
2175,Wyoming,42.9723,-105.5072,13729,"(42.9723, -105.5072)",Converse County
2176,Tennessee,36.5012,-87.8384,13724,"(36.5012, -87.8384)",Stewart County
2177,South Dakota,43.3355,-102.5516,13695,"(43.3355, -102.5516)",Shannon County
2178,Mississippi,31.2142,-88.6392,13672,"(31.2142, -88.6392)",Greene County
